name,rating,date,sentiment,Scores,comment
Jose A.,4.0 out of 5 stars,"Reviewed in the United States on January 27, 2024",Neutral,"{'Negative': 0.23136146, 'Neutral': 0.7032961, 'Positive': 0.06534248}","El teléfono tiene un ligero rayón en la pantalla casi innotable, pero lo que no me gustó es que me trajo un cargador incorrecto, debería ser tipo c. y soporte no me quiso ayudar. Tendré que comprar otro."
Bryangt,5.0 out of 5 stars,"Reviewed in the United States on February 7, 2024",Neutral,"{'Negative': 0.045936424, 'Neutral': 0.83742535, 'Positive': 0.11663817}",Recomiendo enormemente este producto mi teléfono llego como nuevo sin ningún daño y la batería llegó con el 100 por ciento excelente vendedor +++
Elena Laura,4.0 out of 5 stars,"Reviewed in the United States on January 25, 2024",Neutral,"{'Negative': 0.06410491, 'Neutral': 0.83582324, 'Positive': 0.100071825}",Llego con un cable Ligthning
BB,5.0 out of 5 stars,"Reviewed in the United States on February 11, 2024",Positive,"{'Negative': 0.0051924735, 'Neutral': 0.019889157, 'Positive': 0.97491837}","I find no fault my grandson loves, loves, loves this phone."
Eli & Friends,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Neutral,"{'Negative': 0.051077582, 'Neutral': 0.5695574, 'Positive': 0.37936494}",Last all day!
Jianjun Wang,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Neutral,"{'Negative': 0.1657024, 'Neutral': 0.79384893, 'Positive': 0.040448625}",很好！我喜欢。
Luiz Augusto Gomes,5.0 out of 5 stars,"Reviewed in the United States on January 18, 2024",Positive,"{'Negative': 0.0030935009, 'Neutral': 0.035557035, 'Positive': 0.9613495}",Very good and useful
Kindle Customer,5.0 out of 5 stars,"Reviewed in the United States on December 28, 2023",Positive,"{'Negative': 0.004558965, 'Neutral': 0.037385784, 'Positive': 0.95805526}",Ok that was the fastest service ever. We got are new phones a day before estimated in an ice storm no less. Now that is service. Phone was as advertised in great condition.
Taylor,3.0 out of 5 stars,"Reviewed in the United States on January 20, 2024",Neutral,"{'Negative': 0.30576372, 'Neutral': 0.38308138, 'Positive': 0.3111549}",I recently just ordered this phone works great but came with the wrong charger port sent the old charger instead of new iPhone charger
BamBam,5.0 out of 5 stars,"Reviewed in the United States on December 9, 2023",Positive,"{'Negative': 0.0025870984, 'Neutral': 0.016108394, 'Positive': 0.9813045}","10 out of 10 works fine no bugs or delays, buttons works fine it looks great just like how you would get it from the Apple Store"
RAFAEL YANCES,1.0 out of 5 stars,"Reviewed in the United States on February 4, 2024",Neutral,"{'Negative': 0.22887078, 'Neutral': 0.7171837, 'Positive': 0.05394554}","Equipo en regular estado, cargador no funciona y cable en mal estado"
jdiaz070,5.0 out of 5 stars,"Reviewed in the United States on February 12, 2024",Neutral,"{'Negative': 0.107067004, 'Neutral': 0.79266095, 'Positive': 0.10027202}",Excelente estado del celular y la bateria
